,value_normalized
0,[1.0]
1,"[1.0, 1.0]"
2,"[1.0, 1.0, 1.0]"
3,"[1.0, 1.0, 1.0, 0.7777777777777778]"
4,"[1.0, 1.0, 1.0, 0.7777777777777778, 1.0]"
5,[0.8]
6,"[0.8, 1.0]"
7,"[0.8, 1.0, 1.0]"
8,"[0.8, 1.0, 1.0, 1.0]"
9,"[0.8, 1.0, 1.0, 1.0, 0.7777777777777778]"
10,[0.6666666666666666]
11,"[0.6666666666666666, 1.0]"
12,"[0.6666666666666666, 1.0, 1.0]"
13,[1.0]
14,"[1.0, 0.1111111111111111]"
15,"[1.0, 0.1111111111111111, 0.4285714285714285]"
16,"[1.0, 0.1111111111111111, 0.4285714285714285, 0.1111111111111111]"
17,[0.1111111111111111]
18,"[0.1111111111111111, 0.3846153846153846]"
19,"[0.1111111111111111, 0.3846153846153846, 1.0]"
20,"[0.1111111111111111, 0.3846153846153846, 1.0, 0.6190476190476191]"
21,"[0.1111111111111111, 0.3846153846153846, 1.0, 0.6190476190476191, 1.0]"
22,[0.6666666666666666]
23,"[0.6666666666666666, 0.4285714285714285]"
24,"[0.6666666666666666, 0.4285714285714285, 1.0]"
25,"[0.6666666666666666, 0.4285714285714285, 1.0, 1.0]"
26,"[0.6666666666666666, 0.4285714285714285, 1.0, 1.0, 1.0]"
27,[1.0]
28,"[1.0, 1.0]"
29,"[1.0, 1.0, 1.0]"
30,"[1.0, 1.0, 1.0, 1.0]"
31,"[1.0, 1.0, 1.0, 1.0, 0.6666666666666666]"
32,[0.1111111111111111]
33,"[0.1111111111111111, 1.0]"
34,"[0.1111111111111111, 1.0, 1.0]"
35,"[0.1111111111111111, 1.0, 1.0, 1.0]"
36,"[0.1111111111111111, 1.0, 1.0, 1.0, 0.7777777777777778]"
37,[1.0]
38,"[1.0, 1.0]"
39,"[1.0, 1.0, 1.0]"
40,"[1.0, 1.0, 1.0, 1.0]"
41,[1.0]
42,"[1.0, 1.0]"
43,"[1.0, 1.0, 1.0]"
44,"[1.0, 1.0, 1.0, 1.0]"
45,"[1.0, 1.0, 1.0, 1.0, 0.6666666666666666]"
46,[1.0]
47,"[1.0, 0.6666666666666666]"
48,"[1.0, 0.6666666666666666, 1.0]"
49,"[1.0, 0.6666666666666666, 1.0, 0.7777777777777778]"
50,"[1.0, 0.6666666666666666, 1.0, 0.7777777777777778, 1.0]"
51,[1.0]
52,"[1.0, 1.0]"
53,"[1.0, 1.0, 1.0]"
54,"[1.0, 1.0, 1.0, 1.0]"
55,"[1.0, 1.0, 1.0, 1.0, 0.8]"
56,[1.0]
57,"[1.0, 1.0]"
58,"[1.0, 1.0, 0.3333333333333333]"
59,"[1.0, 1.0, 0.3333333333333333, 1.0]"
60,[0.7777777777777778]
61,"[0.7777777777777778, 0.8461538461538461]"
62,"[0.7777777777777778, 0.8461538461538461, 1.0]"
63,"[0.7777777777777778, 0.8461538461538461, 1.0, 1.0]"
64,"[0.7777777777777778, 0.8461538461538461, 1.0, 1.0, 0.8095238095238095]"
65,[0.3333333333333333]
